index,date,open,close,diff_percentage,diff_sum
1,2024-08-27,28.2,27.83,-1.31%,-6.27%
2,2024-08-28,27.82,28.0,0.65%,-6.27%
3,2024-08-29,27.92,28.12,0.72%,-6.27%
4,2024-08-30,28.02,27.94,-0.29%,-6.27%
5,2024-09-02,28.2,28.24,0.14%,-6.27%
6,2024-09-03,28.26,28.49,0.81%,-6.27%
7,2024-09-04,28.56,28.8,0.84%,-6.27%
8,2024-09-05,28.87,29.06,0.66%,-6.27%
9,2024-09-06,29.05,28.58,-1.62%,-6.27%
10,2024-09-09,28.67,28.94,0.94%,-6.27%
11,2024-09-10,28.89,28.51,-1.32%,-6.27%
12,2024-09-11,28.71,28.52,-0.66%,-6.27%
13,2024-09-12,28.4,28.23,-0.6%,-6.27%
14,2024-09-13,28.3,28.42,0.42%,-6.27%
15,2024-09-16,28.5,28.57,0.25%,-6.27%
16,2024-09-17,28.57,28.39,-0.63%,-6.27%
17,2024-09-18,28.27,28.25,-0.07%,-6.27%
18,2024-09-19,28.36,27.91,-1.59%,-6.27%
19,2024-09-20,27.9,27.5,-1.43%,-6.27%
20,2024-09-23,27.5,27.4,-0.36%,-6.27%
21,2024-09-24,27.7,27.38,-1.16%,-6.27%
22,2024-09-25,27.5,27.3,-0.73%,-6.27%
23,2024-09-26,27.45,27.47,0.07%,-6.27%
