index,date,open,close,diff_percentage,diff_sum
1,2024-08-27,59.7,59.8,0.17%,0.16%
2,2024-08-28,59.37,59.37,-0.0%,0.16%
3,2024-08-29,59.41,59.3,-0.19%,0.16%
4,2024-08-30,59.12,59.58,0.78%,0.16%
5,2024-09-02,58.82,58.74,-0.14%,0.16%
6,2024-09-03,57.95,56.55,-2.42%,0.16%
7,2024-09-04,56.7,56.99,0.51%,0.16%
8,2024-09-05,56.89,57.4,0.9%,0.16%
9,2024-09-06,57.5,56.68,-1.43%,0.16%
10,2024-09-09,57.11,56.68,-0.75%,0.16%
11,2024-09-10,56.84,56.0,-1.48%,0.16%
12,2024-09-11,56.74,57.59,1.5%,0.16%
13,2024-09-12,58.1,58.11,0.02%,0.16%
14,2024-09-13,58.1,58.5,0.69%,0.16%
15,2024-09-16,58.43,58.5,0.12%,0.16%
16,2024-09-17,58.37,58.22,-0.26%,0.16%
17,2024-09-18,57.59,57.54,-0.09%,0.16%
18,2024-09-19,58.57,58.23,-0.58%,0.16%
19,2024-09-20,57.71,57.35,-0.62%,0.16%
20,2024-09-23,57.09,57.53,0.77%,0.16%
21,2024-09-24,60.21,60.34,0.22%,0.16%
22,2024-09-25,60.72,60.61,-0.18%,0.16%
23,2024-09-26,62.6,64.24,2.62%,0.16%
